FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
"char_u * vim_tempname(int extra_char UNUSED, int keep UNUSED)","25,882011","21,06383","1,9545455","2,8636363",141,135,550,22,43,9,63,17,True
"static int gui_outstr_nowrap(char_u * s, int len, int flags, guicolor_T fg, guicolor_T bg, int back)","24,026646","21,793312","1,3666667","0,8666667",329,239,462,30,41,11,26,8,True
"int #if defined(MSWIN) VimMain #else main #endif(int argc, char * * argv)","23,054188","21,571428","1,3793104","0,10344828",203,151,251,29,40,21,3,4,True
static void usage(void),"21,90811","20,108109","1,2","0,6",185,124,188,30,36,26,18,3,True
"int check_termcode(int max_offset, char_u * buf, int bufsize, int * buflen)","21,622147","19,9683","1,0384616","0,61538464",694,533,676,26,27,15,16,2,True
"int do_cmdline(char_u * cmdline, char_u *( * fgetline)(int, void *, int, int), void * cookie, int flags)","20,465721","19,234951","1,1153846","0,115384616",515,381,412,26,29,3,3,3,True
void gui_init(void),"19,864115","17,831858","1,3225807","0,7096774",226,130,242,31,41,20,22,6,True
"int mch_call_shell(char_u * cmd, int options)","19,363401","17,113401","1,25",1,194,166,332,20,25,4,20,7,True
int set_termname(char_u * term),"18,780985","17,388128","1,2142857","0,17857143",219,136,200,28,34,11,5,2,True
static int cs_create_connection(int i),"18,16087","15,76087","1,65","0,75",184,145,264,20,33,7,15,8,True
long_u mch_total_mem(int special UNUSED),"18,115154","15,70339","1,4117647",1,118,109,221,17,24,13,17,5,True
"int mf_sync(memfile_T * mfp, int flags)","16,949581","9,714286","2,2941177","4,9411764",105,60,334,17,39,17,84,13,True
void ex_mkrc(exarg_T * eap),"16,80027","15,589744","1,1052631","0,10526316",195,160,177,19,21,6,2,1,True
void check_mouse_termcode(void),"16,20229","14,702291",1,"0,5",131,107,134,18,18,9,9,0,True
void check_buf_options(buf_T * buf),"15,839175","14,639175","1,15","0,05",97,71,84,20,23,16,1,0,True
void free_all_mem(void),"15,474074","14,400001","1,037037","0,037037037",165,88,94,27,28,24,1,0,True
void mch_settmode(int tmode),"15,397273","12,012658","1,4615384","1,9230769",79,73,167,13,19,9,25,7,True
"void free_buf_options(buf_T * buf, int free_p_ff)","15,307142","14,107142","1,15","0,05",112,79,92,20,23,16,1,0,True
static void early_arg_scan(mparm_T * parmp UNUSED),"15,157408","11,407408","1,5833334","2,1666667",81,77,356,12,19,7,26,4,True
void set_init_3(void),"14,666479","12,051095","1,2307693","1,3846154",137,127,283,13,16,5,18,2,True
"void copy_winopt(winopt_T * from, winopt_T * to)","14,427206","13,364706",1,"0,0625",85,71,75,16,16,12,1,0,True
"int do_source(char_u * fname, int check_other, int is_vimrc, int * ret_sid UNUSED)","14,40315","13,084968","1,1363636","0,18181819",306,182,222,22,25,6,4,3,True
"static LRESULT CALLBACK _WndProc(HWND hwnd, UINT uMsg, WPARAM wParam, LPARAM lParam)","14,351497","12,645614","1,2352941","0,47058824",285,212,420,17,21,8,8,1,True
"void gui_drag_scrollbar(scrollbar_T * sb, long value, int still_dragging)","14,035806","12,565217","1,2941177","0,1764706",161,119,159,17,22,8,3,5,True
void mch_errmsg(char * str),"13,969697","10,333333",2,"1,6363636",66,62,225,11,22,8,18,6,True
char_u * vim_findfile(void * search_ctx_arg),"13,859523","12,716666","1,0476191","0,0952381",360,218,227,21,22,3,2,1,True
"int mch_inchar(char_u * buf UNUSED, int maxlen UNUSED, long time UNUSED, int tb_change_cnt UNUSED)","13,779411","11,529411","1,3333334","0,9166667",204,196,448,12,16,5,11,4,True
"static int WaitForCharOrMouse(long msec, int * interrupted, int ignore_input)","13,594595","11,594595","1,3076923","0,6923077",74,66,165,13,17,5,9,2,True
"void main_loop(int cmdwin, int noexmode)","13,3593445","12,272388","1,0434783","0,04347826",268,143,170,23,24,15,1,0,True
static int startup_mzscheme(void),"12,965046","11,393617","1,1428572","0,42857143",188,153,233,14,16,8,6,4,True
void fill_input_buf(int exit_on_error UNUSED),"12,936363","9,636363","1,7","1,6",110,106,418,10,17,8,16,3,True
"static char_u * findswapname(buf_T * buf, char_u * * dirp, char_u * old_fname)","12,803487","11,453487","1,15","0,2",344,197,282,20,23,12,4,3,True
"void expand_env_esc(char_u * srcp, char_u * dst, int dstlen, int esc, int one, char_u * startstr)","12,607504","10,051949","1,7222222","0,8333333",231,129,384,18,31,10,15,4,True
"static int pum_set_selected(int n, int repeat UNUSED)","12,088345","9,934498","1,3076923","0,84615386",229,175,229,13,17,3,11,1,True
void mch_msg(char * str),"12,027027","8,027027","2,1111112","1,8888888",37,33,154,9,19,8,17,5,True
void set_normal_colors(void),"11,772388","7,522388","1,75","2,5",67,63,167,8,14,6,20,0,True
static RETSIGTYPE deathtrap SIGDEFARG(sigarg),"11,667027","10,137615","1,0588236","0,47058824",109,65,94,17,18,12,8,1,True
"static void init_default_colors(term_T * term, win_T * wp)","11,590226","8,947369","1,6428572",1,133,85,232,14,23,7,14,3,True
vim_acl_T mch_get_acl(char_u * fname UNUSED),"11,442856","6,2999997",2,"3,142857",60,54,393,7,14,5,22,7,True
void mch_setmouse(int on),"11,348119","9,963504","1,1538461","0,23076923",137,105,121,13,15,11,3,1,True
"int mch_libcall(char_u * libname, char_u * funcname, char_u * argstring, int argint, char_u * * string_result, int * number_result)","11,258468","9,787879","1,2941177","0,1764706",132,76,116,17,22,5,3,5,True
"static void set_child_environment(long rows, long columns, char * term, int is_terminal UNUSED)","11,240787","9,513514","1,1818181","0,54545456",74,64,134,11,13,5,6,2,True
"static void hl_do_font(int idx, char_u * arg, int do_normal, int do_menu UNUSED, int do_tooltip UNUSED, int free_font)","11,157576","8,066667","1,4545455","1,6363636",75,55,158,11,16,8,18,2,True
"void do_shell(char_u * cmd, int flags)","11,001625","9,268292","1,2666667","0,46666667",123,76,131,15,19,7,7,3,True
int gui_init_check(void),"10,733335","8,333334","1,6","0,8",81,45,107,15,24,13,12,7,True
int gui_get_base_height(void),"10,685715","6,6857142","1,8888888","2,1111112",35,26,105,9,17,9,19,2,True
"void mch_set_acl(char_u * fname UNUSED, vim_acl_T aclent)","10,233767","5,090909",2,"3,142857",22,16,86,7,14,5,22,7,True
void mch_free_acl(vim_acl_T aclent),"10,233767","5,090909",2,"3,142857",22,16,86,7,14,5,22,7,True
static void ex_winpos(exarg_T * eap),"9,89693","4,7719297",3,"2,125",57,34,109,8,24,5,17,4,True
static void check_winopt(winopt_T * wop UNUSED),"9,880488","8,780488",1,"0,1",41,36,40,10,10,9,1,0,True
void clear_winopt(winopt_T * wop UNUSED),"9,880488","8,780488",1,"0,1",41,36,40,10,10,9,1,0,True
"int mch_expandpath(garray_T * gap, char_u * pat, int flags)","9,83354","8,39604","1,25","0,1875",101,53,74,16,20,4,3,5,True
"char_u * vim_getenv(char_u * name, int * mustfree)","9,65678","8,40678","1,1666666","0,083333336",177,124,165,12,14,6,1,2,True
"void mch_delay(long msec, int ignoreinput)","9,6","6,6000004","1,5555556","1,4444444",60,44,128,9,14,5,13,7,True
char_u * FullPathFromFSSpec_save(FSSpec file),"9,2713175","7,604651","1,2222222","0,44444445",129,109,199,9,11,2,4,3,True
"static void f_environ(typval_T * argvars UNUSED, typval_T * rettv)","9,092064","6,377778","1,4285715","1,2857143",45,41,78,7,10,3,9,4,True
void mch_free_mem(void),"9,075","7,2","1,375","0,5",40,36,77,8,11,7,4,1,True
"int ui_get_winpos(int * x, int * y, varnumber_T timeout UNUSED)","9,02353","3,8235295","3,4","1,8",17,13,68,5,17,6,9,6,True
"static void channel_gui_unregister_one(channel_T * channel UNUSED, ch_part_T part UNUSED)",9,"4,2","2,4","2,4",25,21,97,5,12,5,12,2,True
"static void channel_gui_register_one(channel_T * channel, ch_part_T part UNUSED)","8,930435","4,1304345","2,4","2,4",46,38,196,5,12,5,12,2,True
static void nv_zet(cmdarg_T * cap),"8,920079","7,7662334",1,"0,15384616",385,230,247,13,13,6,2,0,True
void ex_splitview(exarg_T * eap),"8,69697","7,3333335","1,1818181","0,18181819",102,68,81,11,13,4,2,0,True
int vim_ispathsep(int c),"8,666667","4,666667","1,8333334","2,1666667",18,14,63,6,11,4,13,5,True
void gui_gtk_register_stock_icons(void),"8,561905","4,7619047","2,2","1,6",84,80,314,5,11,3,8,6,True
"void scrollup(long line_count, int byfold UNUSED)","8,352657","6,130435","1,2222222",1,69,47,114,9,11,2,9,0,True
"static void cs_release_csp(int i, int freefnpp)","8,229237","5,372093","1,4285715","1,4285715",86,66,142,7,10,5,10,3,True
"void gui_mch_add_menu_item(vimmenu_T * menu, int idx)","8,125",6,"1,375","0,75",96,72,128,8,11,3,6,4,True
static void im_preedit_window_open(),"8,036061","4,893204","2,857143","0,2857143",103,72,206,7,20,3,2,6,True
void simplify_filename(char_u * filename),"8,006666","5,84","1,1666666",1,150,146,192,6,7,5,6,2,True
"int ui_inchar(char_u * buf, int maxlen, long wtime, int tb_change_cnt)","8,001587","6,5571427","1,2222222","0,22222222",70,51,87,9,11,6,2,2,True
void gui_start(char_u * arg UNUSED),"7,976812","6,376812","1,2","0,4",69,44,63,10,12,6,4,0,True
"static void catch_signals(RETSIGTYPE( * func_deadly)(), RETSIGTYPE( * func_other)())","7,8725486","3,7058823","2,5","1,6666666",34,21,93,6,15,6,10,3,True
void init_mappings(void),"7,7380953","3,2380953","2,25","2,25",21,17,78,4,9,4,9,1,True
"void f_resolve(typval_T * argvars, typval_T * rettv)","7,5509806","5,717647","1,3333334","0,5",170,162,457,6,8,3,3,2,True
static int ensure_ruby_initialized(void),"7,464286","5,714286","1,375","0,375",49,35,51,8,11,5,3,2,True
int gui_mch_init(void),"7,431707","5,731707","1,3","0,4",164,94,169,10,13,7,4,4,True
static void gui_position_components(int total_width UNUSED),"7,25","4,375","2,625","0,25",64,35,113,8,21,12,2,2,True
void gui_x11_create_widgets(void),"7,072485","5,822485",1,"0,25",169,123,129,8,8,5,2,1,True
"static long_u * insecure_flag(int opt_idx, int opt_flags)","7,0714283","4,0714283","1,6666666","1,3333334",28,19,45,6,10,6,8,0,True
"void gui_mch_clear_block(int row1arg, int col1arg, int row2arg, int col2arg)","7,020408","5,020408","1,5","0,5",49,41,74,6,9,2,3,3,True
void mch_suspend(void),"6,8857145","4,285714","1,8","0,8",28,24,69,5,9,6,4,3,True
"void gui_mch_invert_rectangle(int r, int c, int nr, int nc)","6,859756","3,609756",2,"1,25",41,37,71,4,8,4,5,2,True
"static void set_file_time(char_u * fname, time_t atime, time_t mtime)","6,853846","3,653846","1,8","1,4",26,19,75,5,9,5,7,2,True
"static void f_remote_peek(typval_T * argvars UNUSED, typval_T * rettv)","6,8","4,6","1,4","0,8",50,46,75,5,7,3,4,2,True
static void prepare_server(mparm_T * parmp),"6,782353","3,3823528","1,4",2,34,23,59,5,7,5,10,1,True
void out_str_cf(char_u * s),"6,611111","4,7777777","1,3333334","0,5",54,43,66,6,8,4,3,2,True
void python_end(void),"6,564516","4,064516","1,5",1,31,21,51,6,9,3,6,3,True
void comp_col(void),"6,4594593","4,4594593","1,4","0,6",37,33,47,5,7,4,3,2,True
static void set_hl_attr(int idx),"6,4084034","4,6941175",1,"0,71428573",85,57,84,7,7,5,5,0,True
"void gui_mch_add_menu_item(vimmenu_T * menu, int idx)","6,2515264","4,965812",1,"0,2857143",117,83,92,7,7,5,2,0,True
static void initmaster(int f UNUSED),"6,1499996","3,75","1,2","1,2",16,12,31,5,6,5,6,2,True
static int buf_write_bytes(struct bw_info * ip),"6,1414423","4,712871",1,"0,42857143",303,204,239,7,7,6,3,0,True
static void init_signal_stack(void),"6,032609","2,7826087",2,"1,25",23,16,39,4,8,3,5,2,True
void gui_mch_enable_menu(int flag),"6,0190477","4,6857142",1,"0,33333334",105,82,110,6,6,2,2,0,True
"int gen_expand_wildcards(int num_pat, char_u * * pat, int * num_file, char_u * * * file, int flags)","6,0112133","4,788991","1,1111112","0,11111111",109,58,65,9,10,5,1,1,True
char_u * fix_fname(char_u * fname),"5,9999995","4,2","1,2","0,6",25,21,51,5,6,5,3,1,True
static char_u * viminfo_filename(char_u * file),"5,9777775","2,777778","1,4","1,8",36,20,49,5,7,4,9,2,True
"char_u * gui_mch_browse(int saving UNUSED, char_u * title, char_u * dflt, char_u * ext UNUSED, char_u * initdir, char_u * filter)","5,9256196","3,9256196","1,4","0,6",121,95,136,5,7,3,3,2,True
int setup_slavepty(int fd),"5,894737","1,8947368",3,1,19,12,84,3,9,9,3,4,True
char_u * get_mess_lang(void),"5,75","3,75","1,4","0,6",24,18,37,5,7,4,3,2,True
"static void st_error(int * postfix UNUSED, int * end UNUSED, int * p UNUSED)","5,75","3,5","1,25",1,40,35,66,4,5,3,4,1,True
"char_u * gui_mch_browsedir(char_u * title, char_u * initdir)","5,7166667","3,4666667","1,5","0,75",45,39,55,4,6,3,3,2,True
static void set_x11_title(char_u * title),"5,7037034","3,7037036","1,4","0,6",27,20,42,5,7,4,3,2,True
static void set_x11_icon(char_u * icon),"5,7037034","3,7037036","1,4","0,6",27,20,42,5,7,4,3,2,True
"int get_tty_info(int fd, ttyinfo_T * info)","5,6944447","3,4444444","1,5","0,75",36,31,52,4,6,3,3,2,True
static int can_write_buf_line(channel_T * channel),"5,657895","3,1578948","1,25","1,25",57,45,107,4,5,4,5,2,True
"void libvlc_media_player_set_nsobject(libvlc_media_player_t * p_mi, void * drawable)","2,9117646","1,4117647","1,5",0,17,12,20,2,3,2,0,1,False
int DemuxOpen(vlc_object_t * obj),"1,0833334","0,083333336",1,0,36,3,3,1,1,1,0,0,False
"static int net_SetupDgramSocket(vlc_object_t * p_obj, int fd, const struct addrinfo * ptr)","4,464912","2,131579","1,6666666","0,6666667",38,27,52,3,5,5,2,1,True
"int setenv(const char * name, const char * value, int override)","3,125","1,625","1,5",0,16,13,17,2,3,2,0,1,False
"static int MP4_ReadBox_smhd(stream_t * p_stream, MP4_Box_t * p_box)","1,3333334","0,33333334",1,0,12,4,4,1,1,1,0,0,False
"static int Direct3D9CreateScene(vout_display_t * vd, const video_format_t * fmt)","1,0493827","0,049382716",1,0,81,4,4,1,1,1,0,1,False
void webvtt_CloseDecoder(vlc_object_t * p_this),"1,3","0,3",1,0,10,3,3,1,1,1,0,0,False
int main(void),"3,1111112","1,6111112","1,5",0,36,29,42,2,3,2,0,3,False
"static int FrontendInfo(vlc_object_t * p_access, dvb_sys_t * p_sys)","3,6","0,1","3,5",0,120,6,24,2,7,3,0,1,True
"static int ChunkGetNext(demux_t * p_demux, enum wav_chunk_id * p_id, uint32_t * pi_size)","1,1470588","0,14705883",1,0,34,5,5,1,1,1,0,1,False
"VLC_TARGET static void I422_YUY2(filter_t * p_filter, picture_t * p_source, picture_t * p_dest)","6,4690475","3,8690476","1,6",1,84,65,111,5,8,4,5,2,True
static void satip_teardown(void * data),"1,7083334","0,20833333","1,5",0,48,5,9,2,3,2,0,3,False
int vlc_dlclose(void * handle),"4,066667","2,4","1,3333334","0,33333334",15,12,21,3,4,3,1,3,True
"static int DemuxBlock(demux_t * p_demux, const uint8_t * p, int len)","1,1351352","0,13513513",1,0,74,10,10,1,1,1,0,0,False
"ssize_t vlc_writev(int fd, const struct iovec * iov, int count)","2,5666666","1,0666667","1,5",0,30,16,29,2,3,2,0,1,False
static void * ThreadSend(void * data),"3,1201298","1,8701298","1,25",0,77,36,41,4,5,3,0,1,True
"VLC_TARGET static void I420_UYVY(filter_t * p_filter, picture_t * p_source, picture_t * p_dest)","8,125","6,125","1,2857143","0,71428573",152,133,200,7,9,4,5,6,True
"void * vlc_dlopen(const char * path, bool lazy)","4,74359","2,0769231","2,6666667",0,13,9,31,3,8,3,0,3,False
"int utf8_vfprintf(FILE * stream, const char * fmt, va_list ap)","4,429825","2,7631578","1,3333334","0,33333334",38,35,85,3,4,3,1,4,True
static libvlc_instance_t * create_libvlc(void),"1,1666666","0,16666667",1,0,18,3,3,1,1,1,0,1,False
struct vlc_h2_frame * vlc_h2_frame_settings(void),"8,277778","6,166667","1,7777778","0,33333334",54,37,88,9,16,9,3,3,True
"static int net_Subscribe(vlc_object_t * obj, int fd, const struct sockaddr * grp, socklen_t grplen)","6,7070417","4,507042","1,6","0,6",71,64,204,5,8,6,3,3,True
"static paragraph_t * BuildParagraph(filter_t * p_filter, int i_size, const uni_char_t * p_uchars, text_style_t * * pp_styles, ruby_block_t * * pp_ruby, int i_runs_size, unsigned * pi_max_advance_x)","4,2055554","1,9555556","2,25",0,45,22,56,4,9,3,0,3,True
"static void AllocatePluginDir(module_bank_t * bank, unsigned maxdepth, const char * absdir, const char * reldir)","1,7807018","0,28070176","1,5",0,57,8,13,2,3,2,0,3,True
"int net_Socket(vlc_object_t * p_this, int family, int socktype, int protocol)","3,85","2,6",1,"0,25",40,26,31,4,4,4,1,1,True
"static int AccessOpen(vlc_object_t * obj, vcddev_t * dev)","1,2592592","0,25925925",1,0,54,7,7,2,2,1,0,0,False
unsigned vlc_CPU_raw(void),"6,8142853","3,2142856","3,4","0,2",70,45,207,5,17,7,1,3,True
"static void input_resource_PutVoutLocked(input_resource_t * p_resource, vout_thread_t * vout)","1,2413793","0,2413793",1,0,29,7,7,1,1,1,0,1,False
static void CloseDecoder(vlc_object_t * p_this),"1,1578947","0,15789473",1,0,19,3,3,1,1,1,0,0,False
static void D3D11_Destroy(d3d11_handle_t * hd3d),"3,9545455","1,4545455","1,5",1,11,8,16,2,3,3,2,2,True
"static int D3D11_Create(vlc_object_t * obj, d3d11_handle_t * hd3d)","4,2333336","1,7333333","1,5",1,30,26,62,2,3,3,2,2,True
"int vlc_socket(int pf, int type, int proto, bool nonblock)","3,9607842","2,2941177","1,3333334","0,33333334",17,13,23,3,4,3,1,1,True
"static int Enable(vout_window_t * wnd, const vout_window_cfg_t * restrict cfg)","2,637681","1,3043478","1,3333334",0,23,10,15,3,4,2,0,1,True
"VLC_TARGET static void I422_YVYU(filter_t * p_filter, picture_t * p_source, picture_t * p_dest)","6,4690475","3,8690476","1,6",1,84,65,111,5,8,4,5,2,True
"static int intf_Eject(vlc_object_t * p_this, const char * psz_device)","7,755555","4,5555553","2,6","0,6",45,41,136,5,13,4,3,4,True
"VLC_TARGET static void I420_YVYU(filter_t * p_filter, picture_t * p_source, picture_t * p_dest)","8,125","6,125","1,2857143","0,71428573",152,133,200,7,9,4,5,6,True
"static void msg_print(intf_thread_t * p_intf, const char * psz_fmt, ...)","1,9761904","0,47619048","1,5",0,21,5,9,2,3,2,0,1,False
"vlc_iconv_t vlc_iconv_open(const char * tocode, const char * fromcode)","7,434146","4,634146","1,8",1,41,38,103,5,9,5,5,3,True
"vcddev_toc_t * ioctl_GetTOC(vlc_object_t * p_this, const vcddev_t * p_vcddev, bool b_fill_sectorinfo)","11,936508","6,2222223","4,714286",1,252,224,1201,7,33,6,7,15,True
"static void SelectSwapchainColorspace(struct d3d11_local_swapchain * display, const libvlc_video_render_cfg_t * cfg)","1,3678161","0,3678161",1,0,87,32,32,1,1,1,0,0,False
"static int EsOutSend(es_out_t * out, es_out_id_t * id, block_t * block)","1,4166666","0,41666666",1,0,12,5,5,1,1,1,0,0,False
static void rootprocess(int fd),"1,8769231","0,8769231",1,0,65,19,19,3,3,1,0,0,False
"VLC_TARGET static void I420_YUY2(filter_t * p_filter, picture_t * p_source, picture_t * p_dest)","8,141935","6,1419353","1,2857143","0,71428573",155,136,203,7,9,4,5,6,True
"static int ParseSDPConnection(const char * str, struct sockaddr_storage * addr, socklen_t * addrlen, unsigned * number)","2,5641024","1,2307693",1,"0,33333334",39,16,19,3,3,2,1,0,True
"int vlc_socketpair(int pf, int type, int proto, int fds[2], bool nonblock)","4,166667","2,5","1,3333334","0,33333334",24,20,37,3,4,3,1,1,True
"static int EnableWindowLocked(vout_thread_t * vout, const video_format_t * original)","2,1538463","0,15384616",2,0,26,4,8,1,2,2,0,0,False
"static struct addrinfo * makeipv4info(int type, int proto, u_long ip, u_short port, const char * name)","1,2142857","0,21428572",1,0,14,3,3,1,1,1,0,0,False
"int dvb_set_dvbt2(dvb_device_t * d, uint32_t freq, const char * modstr, uint32_t fec, uint32_t bandwidth, int transmit_mode, uint32_t guard, uint8_t plp)","5,6048384","3,3548386","1,5","0,75",31,26,43,4,6,2,3,2,True
"static block_t * Encode(encoder_t * p_enc, subpicture_t * p_subpic)","1,1463414","0,14634146",1,0,82,6,6,2,2,1,0,0,False
"static void ParseHeader(decoder_t * p_dec, block_t * p_block)","1,2372881","0,23728813",1,0,59,14,14,1,1,1,0,1,False
"VLC_TARGET static void I422_UYVY(filter_t * p_filter, picture_t * p_source, picture_t * p_dest)","6,4690475","3,8690476","1,6",1,84,65,111,5,8,4,5,2,True
"vout_display_t * vout_OpenWrapper(vout_thread_t * vout, const char * splitter_name, const vout_display_cfg_t * cfg, vlc_video_context * vctx)","1,3","0,3",1,0,60,9,9,2,2,2,0,1,False
static void Destroy(input_thread_t * input),"1,2","0,2",1,0,25,5,5,1,1,1,0,1,False
static int64_t vlc_strtoi(const char * str),"1,2777778","0,2777778",1,0,18,5,5,1,1,1,0,0,False
"static void ASF_fillup_es_bitrate_priorities_ex(demux_sys_t * p_sys, void * p_hdr, asf_es_priorities_t * p_prios)","2,1904762","0,1904762",2,0,21,4,8,1,2,2,0,0,False
"static void ParserHeaderHandler(void * priv, enum webvtt_header_line_e s, bool b_new, const char * psz_line)","3,3423078","2,0923078",1,"0,25",65,34,37,4,4,2,1,0,True
"int vlc_accept(int lfd, struct sockaddr * addr, socklen_t * alen, bool nonblock)","4,0000005","2,3333335","1,3333334","0,33333334",18,14,24,3,4,3,1,1,True
static int GetSwsCpuMask(void),8,3,"2,5","2,5",20,15,63,4,10,8,10,1,True
"static int net_SourceSubscribe(vlc_object_t * obj, int fd, const struct sockaddr * src, socklen_t srclen, const struct sockaddr * grp, socklen_t grplen)","5,67029","3,4202898","1,75","0,5",69,59,173,4,7,5,2,3,True
"FILE * vlc_fopen(const char * filename, const char * mode)","1,1904762","0,1904762",1,0,42,8,8,1,1,1,0,0,False
VLC_WEAK unsigned vlc_CPU_raw(void),"18,431623","12,277778","3,3076923","2,8461537",90,85,509,13,43,23,37,20,True
void * rtp_dgram_thread(void * opaque),"1,6351352","0,13513513","1,5",0,74,5,9,2,3,2,0,1,False
static char * vlc_idna_to_ascii(const char * idn),"5,5030303","2,8363636","2,6666667",0,55,52,137,3,8,3,0,3,False
